Pos_1,Pos_2,Pos_3,Pos_4,Pos_5,Pos_6
0,0,-0,0,-0,0
0,0,0,0,-0,0
0,0,0,0,-0,0
0,0.0001,0.0001,0,-0,0
0,0.0002,0.0002,-0,-0,0
0,0.0004,0.0004,-0,-0,0
0,0.0007,0.0006,-0,-0.0001,0
0,0.0011,0.001,-0,-0.0001,0
0,0.0017,0.0015,-0,-0.0002,0
0,0.0024,0.0021,-0,-0.0003,0
0,0.0033,0.0029,-0,-0.0004,0
0,0.0043,0.0039,-0,-0.0005,0
0,0.0056,0.005,-0,-0.0007,0
0,0.0071,0.0064,-0,-0.0009,0
0,0.0089,0.008,-0,-0.0011,0
0,0.011,0.0099,-0,-0.0013,0
0,0.0133,0.012,-0,-0.0016,0
0,0.016,0.0144,-0,-0.0019,0
0,0.019,0.017,-0,-0.0023,0
0,0.0223,0.02,-0,-0.0027,0
0,0.026,0.0234,-0,-0.0031,0
0,0.0301,0.027,-0,-0.0036,0
0,0.0346,0.0311,-0,-0.0041,0
0,0.0395,0.0355,-0,-0.0047,0
0,0.0449,0.0404,-0,-0.0054,0
0,0.0508,0.0456,-0,-0.0061,0
0,0.0571,0.0513,-0,-0.0068,0
0,0.0639,0.0574,-0,-0.0076,0
0,0.0713,0.0641,-0,-0.0085,0
0,0.0792,0.0712,-0,-0.0095,0
0,0.0877,0.0788,-0,-0.0105,0
0,0.0967,0.0869,-0,-0.0116,0
0,0.1064,0.0956,-0,-0.0127,0
0,0.1167,0.1048,-0,-0.014,0
0,0.1276,0.1146,-0,-0.0153,0
0,0.1391,0.125,-0,-0.0166,0
0,0.1514,0.136,-0,-0.0181,0
0,0.1643,0.1476,-0,-0.0197,0
0,0.178,0.1599,-0,-0.0213,0
0,0.1924,0.1728,-0,-0.023,0
0,0.2076,0.1864,-0,-0.0248,0
0,0.2235,0.2007,-0,-0.0267,0
0,0.2402,0.2157,-0,-0.0287,0
0,0.2577,0.2315,-0,-0.0308,0
0,0.2761,0.248,-0,-0.033,0
0,0.2953,0.2652,-0,-0.0353,0
0,0.3154,0.2832,-0,-0.0377,0
0,0.3363,0.302,-0,-0.0402,0
0,0.3582,0.3217,-0,-0.0428,0
0,0.381,0.3421,-0,-0.0456,0
0,0.4047,0.3634,-0,-0.0484,0
0,0.4294,0.3856,-0,-0.0513,0
0,0.4551,0.4086,-0,-0.0544,0
0,0.4818,0.4326,-0,-0.0576,0
0,0.5095,0.4574,-0,-0.0609,0
0,0.5382,0.4832,-0,-0.0644,0
0,0.568,0.5099,-0,-0.0679,0
0,0.5988,0.5376,-0,-0.0716,0
0,0.6308,0.5662,-0,-0.0754,0
0,0.6638,0.5959,-0,-0.0794,0
0,0.698,0.6265,-0,-0.0835,0
0,0.7333,0.6582,-0,-0.0877,0
0,0.7698,0.6909,-0,-0.092,0
0,0.8075,0.7247,-0,-0.0965,0
0,0.8464,0.7596,-0,-0.1012,0
0,0.8865,0.7955,-0,-0.106,0
0,0.9278,0.8325,-0,-0.1109,0
0,0.9704,0.8707,-0,-0.116,0
0,1.0143,0.91,-0,-0.1213,0
0,1.0594,0.9505,-0,-0.1267,0
0,1.1059,0.9921,-0,-0.1322,0
0,1.1537,1.0349,-0,-0.1379,0
0,1.2029,1.0789,-0,-0.1438,0
0,1.2534,1.1241,-0,-0.1498,0
0,1.3053,1.1706,-0,-0.156,0
0,1.3586,1.2183,-0,-0.1624,0
0,1.4133,1.2672,-0,-0.1689,0
0,1.4694,1.3175,-0,-0.1756,0
0,1.527,1.369,-0,-0.1825,0
0,1.5861,1.4218,-0,-0.1896,0
0,1.6467,1.476,-0,-0.1968,0
0,1.7087,1.5315,-0,-0.2042,0
0,1.7723,1.5883,-0,-0.2118,0
0,1.8374,1.6466,-0,-0.2196,0
0,1.9041,1.7062,-0,-0.2275,0
0,1.9724,1.7672,-0,-0.2357,0
0,2.0423,1.8296,-0,-0.244,0
0,2.1137,1.8934,-0,-0.2526,0
0,2.1868,1.9587,-0,-0.2613,0
0,2.2616,2.0254,-0,-0.2702,0
0,2.338,2.0936,-0,-0.2793,0
0,2.4161,2.1633,-0,-0.2887,0
0,2.4959,2.2345,-0,-0.2982,0
0,2.5774,2.3071,-0,-0.3079,0
0,2.6606,2.3814,-0,-0.3178,0
0,2.7456,2.4571,-0,-0.328,0
0,2.8323,2.5344,-0,-0.3383,0
0,2.9209,2.6133,-0,-0.3489,0
0,3.0112,2.6938,-0,-0.3597,0
0,3.1033,2.7759,-0,-0.3706,0
0,3.1973,2.8595,-0,-0.3819,0
0,3.2931,2.9448,-0,-0.3933,0
0,3.3908,3.0318,-0,-0.4049,0
0,3.4904,3.1203,-0,-0.4168,0
0,3.5919,3.2106,-0,-0.4289,0
0,3.6953,3.3025,-0,-0.4412,0
0,3.8006,3.3961,-0,-0.4538,0
0,3.9079,3.4914,-0,-0.4666,0
0,4.0171,3.5885,-0,-0.4796,0
0,4.1283,3.6872,-0,-0.4928,0
0,4.2415,3.7877,-0,-0.5063,0
0,4.3568,3.89,-0,-0.5201,0
0,4.474,3.994,-0,-0.534,0
0,4.5933,4.0998,-0,-0.5483,0
0,4.7147,4.2074,-0,-0.5627,0
0,4.8381,4.3168,-0,-0.5774,0
0,4.9637,4.428,-0,-0.5924,0
0,5.0913,4.5411,-0,-0.6076,0
0,5.2211,4.6559,-0,-0.623,0
0,5.353,4.7727,-0,-0.6387,0
0,5.4871,4.8913,-0,-0.6547,0
0,5.6234,5.0118,-0,-0.6709,0
0,5.7618,5.1341,-0,-0.6874,0
0,5.9025,5.2584,-0,-0.7041,0
0,6.0453,5.3846,-0,-0.7211,0
0,6.1904,5.5127,-0,-0.7384,0
0,6.3378,5.6427,-0,-0.7559,0
0,6.4874,5.7747,-0,-0.7737,0
0,6.6393,5.9086,-0,-0.7918,0
0,6.7936,6.0445,-0,-0.8101,0
0,6.9501,6.1824,-0,-0.8287,0
0,7.1089,6.3222,-0,-0.8476,0
0,7.2701,6.4641,-0,-0.8667,0
0,7.4337,6.608,-0,-0.8862,0
0,7.5996,6.7539,-0,-0.9059,0
0,7.7679,6.9018,-0,-0.9259,0
0,7.9386,7.0517,-0,-0.9462,0
0,8.1118,7.2038,-0,-0.9667,0
0,8.2873,7.3578,-0,-0.9876,0
0,8.4654,7.514,-0,-1.0087,0
0,8.6458,7.6722,-0,-1.0301,0
0,8.8288,7.8325,-0,-1.0519,0
0,9.0143,7.9949,-0,-1.0739,0
0,9.2022,8.1594,-0,-1.0962,0
0,9.3927,8.3261,-0,-1.1188,0
0,9.5857,8.4948,-0,-1.1417,0
0,9.7813,8.6657,-0,-1.1649,0
0,9.9794,8.8388,-0,-1.1884,0
0,10.1802,9.014,-0,-1.2122,0
0,10.3835,9.1913,-0,-1.2363,0
0,10.5894,9.3708,-0,-1.2607,0
0,10.7979,9.5525,-0,-1.2854,0
0,11.0091,9.7364,-0,-1.3104,0
0,11.2229,9.9225,-0,-1.3357,0
0,11.4394,10.1108,-0,-1.3614,0
0,11.6586,10.3013,-0,-1.3873,0
0,11.8805,10.4941,-0,-1.4136,0
0,12.105,10.689,-0,-1.4402,0
0,12.3323,10.8862,-0,-1.4671,0
0,12.5623,11.0856,-0,-1.4943,0
0,12.7951,11.2873,-0,-1.5218,0
0,13.0306,11.4912,-0,-1.5497,0
0,13.269,11.6974,-0,-1.5779,0
0,13.51,11.9059,-0,-1.6064,0
0,13.7539,12.1167,-0,-1.6352,0
0,14.0006,12.3297,-0,-1.6644,0
0,14.2502,12.545,-0,-1.6939,0
0,14.5026,12.7626,-0,-1.7237,0
0,14.7578,12.9826,-0,-1.7538,0
0,15.0159,13.2048,-0,-1.7843,0
0,15.2769,13.4294,-0,-1.8151,0
0,15.5408,13.6562,-0,-1.8463,0
0,15.8075,13.8854,-0,-1.8777,0
0,16.0772,14.117,-0,-1.9096,0
