Pos_1,Pos_2,Pos_3,Pos_4,Pos_5,Pos_6
0,-0,0,0,0,0
0,0,-0,0,0,0
0,-0,-0,0,0,0
0,0,-0,0,0,0
0,0,-0,0,0,0
0,-0,-0,0,0,0
0,0,-0,0,0,0
0,-0,-0,0,0,0
0,-0,-0,0,0,0
0,-0,-0,0,0,0
0,-0,-0.0001,0,0,0
0,-0,-0.0001,0,0.0001,0
0,-0,-0.0001,0,0.0001,0
0,-0,-0.0002,0,0.0001,0
0,-0,-0.0002,0,0.0002,0
0,-0,-0.0003,0,0.0002,0
0,-0,-0.0004,0,0.0003,0
0,-0,-0.0005,0,0.0003,0
0,-0,-0.0007,0,0.0004,0
0,-0,-0.0008,0,0.0005,0
0,-0,-0.001,0,0.0007,0
0,-0,-0.0013,0,0.0008,0
0,-0,-0.0015,0,0.001,0
0,-0,-0.0018,0,0.0011,0
0,-0,-0.0021,0,0.0014,0
0,-0,-0.0025,0,0.0016,0
0,-0,-0.0029,0,0.0019,0
0,-0,-0.0034,0,0.0022,0
0,-0,-0.0039,0,0.0025,0
0,-0,-0.0045,0,0.0029,0
0,-0,-0.0052,0,0.0033,0
0,-0,-0.0059,0,0.0037,0
0,-0,-0.0067,0,0.0042,0
0,-0,-0.0076,0,0.0048,0
0,-0,-0.0085,0,0.0054,0
0,-0,-0.0096,0,0.0061,0
0,-0,-0.0107,0,0.0068,0
0,-0,-0.0119,0,0.0076,0
0,-0,-0.0132,0,0.0084,0
0,-0,-0.0147,0,0.0093,0
0,-0,-0.0162,0,0.0103,0
0,-0,-0.0179,0,0.0113,0
0,-0,-0.0197,0,0.0125,0
0,-0,-0.0216,0,0.0137,0
0,-0,-0.0236,0,0.015,0
0,-0,-0.0258,0,0.0164,0
0,-0,-0.0282,0,0.0179,0
0,-0,-0.0307,0,0.0195,0
0,-0,-0.0334,0,0.0212,0
0,-0,-0.0362,0,0.023,0
0,-0,-0.0392,0,0.0249,0
0,-0,-0.0424,0,0.0269,0
0,-0,-0.0458,0,0.029,0
0,-0,-0.0493,0,0.0313,0
0,-0,-0.0531,0,0.0337,0
0,-0,-0.0571,0,0.0362,0
0,-0,-0.0613,0,0.0389,0
0,-0,-0.0657,0,0.0417,0
0,-0,-0.0704,0,0.0447,0
0,-0,-0.0753,0,0.0478,0
0,-0,-0.0805,0,0.051,0
0,-0,-0.0859,0,0.0545,0
0,-0,-0.0916,0,0.0581,0
0,-0,-0.0975,0,0.0618,0
0,-0,-0.1038,0,0.0658,0
0,-0,-0.1103,0,0.0699,0
0,-0,-0.1171,0,0.0743,0
0,-0,-0.1242,0,0.0788,0
0,-0,-0.1317,0,0.0835,0
0,-0,-0.1395,0,0.0884,0
0,-0,-0.1476,0,0.0936,0
0,-0,-0.156,0,0.099,0
0,-0,-0.1649,0,0.1045,0
0,-0,-0.174,0,0.1104,0
0,-0,-0.1836,0,0.1164,0
0,-0,-0.1935,0,0.1227,0
0,-0,-0.2038,0,0.1293,0
0,-0,-0.2145,0,0.1361,0
0,-0,-0.2257,0,0.1431,0
0,-0,-0.2372,0,0.1504,0
0,-0,-0.2492,0,0.158,0
0,-0,-0.2616,0,0.1659,0
0,-0,-0.2745,0,0.1741,0
0,-0,-0.2879,0,0.1826,0
0,-0,-0.3017,0,0.1913,0
0,-0,-0.316,0,0.2004,0
0,-0,-0.3308,0,0.2098,0
0,-0,-0.3461,0,0.2195,0
0,-0,-0.3619,0,0.2295,0
0,-0,-0.3782,0,0.2399,0
0,-0,-0.3951,0,0.2506,0
0,-0,-0.4125,0,0.2616,0
0,-0.0001,-0.4305,0,0.273,0
0,-0.0001,-0.4491,0,0.2848,0
0,-0.0001,-0.4682,0,0.2969,0
0,-0.0001,-0.4879,0,0.3094,0
0,-0.0001,-0.5083,0,0.3223,0
0,-0.0001,-0.5292,0,0.3356,0
0,-0.0001,-0.5508,0,0.3493,0
0,-0.0001,-0.573,0,0.3634,0
0,-0.0001,-0.5959,0,0.3779,0
0,-0.0001,-0.6195,0,0.3929,0
0,-0.0001,-0.6437,0,0.4082,0
0,-0.0001,-0.6686,0,0.424,0
0,-0.0001,-0.6942,0,0.4403,0
0,-0.0001,-0.7205,0,0.457,0
0,-0.0002,-0.7476,0,0.4741,0
0,-0.0002,-0.7754,0,0.4917,0
0,-0.0002,-0.8039,0,0.5099,0
0,-0.0002,-0.8332,0,0.5284,0
0,-0.0002,-0.8633,0,0.5475,0
0,-0.0002,-0.8942,0,0.5671,0
0,-0.0002,-0.9258,0,0.5872,0
0,-0.0002,-0.9583,0,0.6078,0
0,-0.0003,-0.9917,0,0.6289,0
0,-0.0003,-1.0258,0,0.6506,0
0,-0.0003,-1.0608,0,0.6728,0
0,-0.0003,-1.0967,0,0.6956,0
0,-0.0003,-1.1335,0,0.7189,0
0,-0.0004,-1.1711,0,0.7428,0
0,-0.0004,-1.2097,0,0.7672,0
0,-0.0004,-1.2492,0,0.7923,0
0,-0.0005,-1.2896,0,0.8179,0
0,-0.0005,-1.3309,0,0.8442,0
0,-0.0005,-1.3733,0,0.871,0
0,-0.0005,-1.4166,0,0.8985,0
0,-0.0006,-1.4609,0,0.9266,0
0,-0.0006,-1.5062,0,0.9553,0
0,-0.0007,-1.5525,0,0.9847,0
0,-0.0007,-1.5998,0,1.0148,0
0,-0.0007,-1.6482,0,1.0455,0
0,-0.0008,-1.6977,0,1.0768,0
0,-0.0008,-1.7482,0,1.1089,0
0,-0.0009,-1.7998,0,1.1416,0
0,-0.0009,-1.8525,0,1.1751,0
0,-0.001,-1.9063,0,1.2092,0
0,-0.001,-1.9613,0,1.2441,0
0,-0.0011,-2.0174,0,1.2797,0
0,-0.0012,-2.0747,0,1.3161,0
0,-0.0012,-2.1331,0,1.3531,0
0,-0.0013,-2.1927,0,1.391,0
0,-0.0014,-2.2536,0,1.4296,0
0,-0.0015,-2.3156,0,1.469,0
0,-0.0015,-2.3789,0,1.5091,0
0,-0.0016,-2.4434,0,1.5501,0
0,-0.0017,-2.5092,0,1.5918,0
0,-0.0018,-2.5763,0,1.6344,0
0,-0.0019,-2.6447,0,1.6778,0
0,-0.002,-2.7143,0,1.722,0
0,-0.0021,-2.7853,0,1.7671,0
0,-0.0022,-2.8577,0,1.813,0
0,-0.0023,-2.9313,0,1.8598,0
0,-0.0025,-3.0064,0,1.9074,0
0,-0.0026,-3.0828,0,1.9559,0
0,-0.0027,-3.1607,0,2.0053,0
0,-0.0028,-3.2399,0,2.0557,0
0,-0.003,-3.3206,0,2.1069,0
0,-0.0031,-3.4027,0,2.159,0
0,-0.0033,-3.4863,0,2.2121,0
0,-0.0035,-3.5714,0,2.2661,0
0,-0.0036,-3.6579,0,2.321,0
0,-0.0038,-3.746,0,2.377,0
0,-0.004,-3.8356,0,2.4338,0
0,-0.0042,-3.9267,0,2.4917,0
0,-0.0044,-4.0194,0,2.5505,0
0,-0.0046,-4.1136,0,2.6104,0
0,-0.0048,-4.2094,0,2.6712,0
0,-0.005,-4.3069,0,2.7331,0
0,-0.0053,-4.4059,0,2.796,0
0,-0.0055,-4.5066,0,2.8599,0
0,-0.0058,-4.6089,0,2.9249,0
0,-0.006,-4.7129,0,2.991,0
0,-0.0063,-4.8185,0,3.0581,0
0,-0.0066,-4.9259,0,3.1263,0
0,-0.0069,-5.035,0,3.1956,0
0,-0.0072,-5.1458,0,3.2659,0
0,-0.0075,-5.2583,0,3.3374,0
0,-0.0078,-5.3726,0,3.41,0
0,-0.0082,-5.4887,0,3.4838,0
0,-0.0085,-5.6066,0,3.5587,0
0,-0.0089,-5.7262,0,3.6347,0
0,-0.0093,-5.8477,0,3.7119,0
0,-0.0097,-5.9711,0,3.7903,0
0,-0.0101,-6.0962,0,3.8698,0
0,-0.0105,-6.2233,0,3.9506,0
0,-0.011,-6.3523,0,4.0325,0
0,-0.0114,-6.4831,0,4.1157,0
