Pos_1,Pos_2,Pos_3,Pos_4,Pos_5,Pos_6
605,-1606.8,2545.25,0,-0,0
608.3782,-1598.8618,2545.3896,1269.3747,3.6304,635.8348
620.9057,-1569.1491,2545.8427,1264.86,17.1499,630.9602
642.4483,-1517.0249,2546.3768,1257.2013,40.6092,622.5603
672.5194,-1442.0379,2546.5743,1246.7442,73.8032,610.7998
710.4567,-1343.6159,2545.8397,1233.9684,116.4236,595.9108
755.4524,-1221.1431,2543.4011,1219.4725,168.0428,578.188
806.5897,-1074.0581,2538.3147,1203.954,228.0914,557.9843
862.8823,-901.9688,2529.4745,1188.1831,295.8325,535.7032
923.3137,-704.7783,2515.6285,1172.9722,370.3357,511.7915
986.8749,-482.8048,2495.4027,1159.1405,450.455,486.7302
1052.0267,-239.0898,2467.613,1147.5666,534.0812,461.2466
1113.7908,7.6645,2433.5377,1139.3334,614.2951,437.4088
1171.4504,252.2598,2393.8116,1134.3349,689.4853,415.5733
1225.3724,493.7627,2348.6726,1132.2599,759.5438,395.6567
1275.8851,731.4321,2298.3688,1132.8194,824.4292,377.5796
1323.2825,964.7096,2243.1513,1135.7498,884.1611,361.2669
1367.8278,1193.2047,2183.2679,1140.8134,938.8119,346.6479
1409.7576,1416.6749,2118.9586,1147.7997,988.498,333.6569
1449.2844,1635.0052,2050.4507,1156.5248,1033.3704,322.2328
1486.5995,1848.1872,1977.9564,1166.8306,1073.6061,312.3199
1521.8756,2056.299,1901.6702,1178.5842,1109.3993,303.8676
1555.2686,2259.4875,1821.7675,1191.6763,1140.9547,296.8307
1586.9196,2457.9522,1738.404,1206.0198,1168.4815,291.1696
1616.9565,2651.9326,1651.7148,1221.5489,1192.1885,286.8505
1645.4957,2841.6967,1561.8146,1238.2175,1212.2804,283.8455
1672.6428,3027.5325,1468.7974,1255.9984,1228.9545,282.1328
1698.4941,3209.741,1372.7372,1274.8824,1242.3995,281.6973
1723.1376,3388.6316,1273.6873,1294.8776,1252.7931,282.5304
1746.6536,3564.5178,1171.6812,1316.0094,1260.3016,284.6312
1769.1158,3737.7153,1066.7316,1338.3206,1265.0793,288.0063
1790.5917,3908.5404,958.831,1361.8716,1267.268,292.671
1810.8129,4074.5522,849.7965,1386.3216,1267.0209,298.5408
1828.512,4224.3982,747.8574,1409.7992,1264.8175,305.0268
1843.7582,4357.2095,654.7281,1431.7958,1261.3201,311.7615
1856.762,4473.4608,571.0819,1452.0206,1257.0886,318.449
1867.6955,4573.4893,497.5292,1470.1878,1252.589,324.8177
1876.6976,4657.5246,434.6157,1486.0233,1248.2053,330.6217
1883.8793,4725.7154,382.8172,1499.2735,1244.2495,335.6444
1889.3266,4778.1516,342.5336,1509.7147,1240.9682,339.7017
1893.1037,4814.8836,314.0815,1517.163,1238.5469,342.6467
1895.254,4835.9362,297.6881,1521.4827,1237.114,344.3732
1895.8282,4841.5755,293.2863,1522.6461,1236.7246,344.8405
1895.8282,4841.5755,293.2863,1522.6461,1236.7246,344.8405
1893.1964,4844.5518,287.3815,1522.2369,1234.2393,345.8443
1883.7166,4855.0642,266.6123,1520.5443,1225.4799,349.3055
1866.7672,4873.1104,231.2622,1516.7221,1210.5021,354.9346
1841.4415,4898.4975,182.147,1509.3011,1189.5292,362.1534
1806.5702,4930.8104,120.5957,1496.1333,1162.9301,370.0614
1760.8332,4969.2687,48.6208,1474.3186,1131.2797,377.3593
1702.8922,5012.5496,-30.8749,1440.1094,1095.4473,382.261
1631.5361,5058.5909,-113.8704,1388.8243,1056.718,382.4188
1550.4769,5102.1722,-191.0898,1319.2024,1018.9327,375.5231
1465.7794,5138.5129,-254.5715,1234.339,985.8435,360.9926
1378.3447,5166.6116,-303.1317,1134.6054,958.2162,338.8444
1288.9908,5185.6971,-335.8689,1021.1017,936.7759,309.5224
1198.5059,5195.237,-352.1607,895.8414,922.1785,273.9647
1107.6601,5194.9626,-351.6927,761.7763,914.9555,233.6041
1017.2178,5184.8816,-334.4739,622.6481,915.4612,190.2811
927.9499,5165.2779,-300.8366,482.667,923.8335,146.0703
840.6457,5136.6978,-251.4195,346.0855,939.9786,103.0529
756.1255,5099.9253,-187.1384,216.7753,963.5816,63.0928
675.2533,5055.9482,-109.1474,97.914,994.1422,27.6662
598.9492,5005.9213,-18.797,-8.1607,1031.0236,-2.2228
528.2024,4951.1272,82.4074,-99.9344,1073.5043,-26.0447
464.0833,4892.9393,192.8412,-176.5837,1120.8242,-43.6894
407.7546,4832.7863,310.7879,-237.7907,1172.2178,-55.3824
360.5003,4772.1494,434.3956,-283.5352,1226.9052,-61.5972
325.8645,4716.5574,552.8614,-312.3679,1280.1005,-63.0352
304.0749,4670.0035,656.7999,-326.7724,1327.4474,-61.3906
292.1921,4632.3676,744.757,-331.4077,1368.0609,-58.2599
287.2645,4603.1071,816.1158,-330.1367,1401.4198,-54.735
286.5559,4581.5045,870.7967,-326.0707,1427.2553,-51.52
287.7471,4566.8519,909.0046,-321.5974,1445.4594,-49.0398
289.0972,4558.5778,931.0254,-318.3938,1456.011,-47.531
289.568,4556.2696,937.2296,-317.4071,1458.9921,-47.0959
-79.7964,4429.0595,3.3595,-1117.8035,854.1103,-363.9819
-77.9527,4429.0127,3.4317,-1114.9134,853.9213,-363.0617
-70.2317,4428.7733,3.8012,-1102.7707,853.159,-359.1866
-56.4141,4428.1695,4.733,-1080.882,851.9127,-352.1655
-36.5118,4426.9042,6.6861,-1049.0139,850.3859,-341.8674
-10.5512,4424.5511,10.3193,-1006.8823,848.8768,-328.129
21.416,4420.558,16.4882,-954.2146,847.7818,-310.7855
59.2993,4414.2542,26.2358,-890.8358,847.5984,-289.7126
102.952,4404.8621,40.7793,-816.7793,848.9242,-264.8815
152.1504,4391.5167,61.4869,-732.4188,852.4512,-236.4221
206.5676,4373.294,89.8452,-638.6074,858.9501,-204.6904
265.7422,4349.2503,127.4123,-536.8034,869.2448,-170.3254
329.0399,4318.4739,175.7584,-429.1497,884.1735,-134.2813
395.606,4280.1502,236.3893,-318.478,904.5397,-97.8151
464.3057,4233.6384,310.6565,-208.2189,931.0554,-62.4218
533.649,4178.5608,399.6527,-102.2274,964.2847,-29.7156
601.6204,4114.9754,503.9697,-4.6657,1004.545,-1.3048
663.5415,4046.0316,619.2384,77.6777,1050.1336,20.7485
716.2693,3974.704,741.2353,141.808,1099.285,35.9394
758.3333,3902.4653,868.1547,187.7249,1151.2065,44.8291
788.1404,3830.802,998.1047,215.572,1205.1311,48.1541
803.9879,3761.1864,1129.1,225.5086,1260.3057,46.7617
804.1004,3695.0407,1259.0524,217.6432,1315.9683,41.5638
786.7002,3633.6887,1385.7628,192.0204,1371.3141,33.5018
750.1244,3578.2966,1506.9176,148.6588,1425.4531,23.5116
